commit	val_bpb	memory_gb	status	description
4d32d8c	2.626063	1.5	keep	gpu3 run6 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=1 L_CYCLES=1 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.22994567607363237 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.1243392359021272 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626196	1.5	discard	gpu0 run6 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=1 L_CYCLES=1 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.22994567607363237 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.15 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.3 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626134	1.5	discard	gpu2 run6 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=1 L_CYCLES=1 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.22994567607363237 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.18274688317742974 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626163	1.5	discard	gpu1 run7 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=1 L_CYCLES=1 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.22994567607363237 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.15 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626106	1.5	discard	gpu0 run7 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=1 L_CYCLES=1 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.22138993197357207 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.1243392359021272 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626084	1.5	discard	gpu2 run7 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=1 L_CYCLES=1 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.22994567607363237 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.1243392359021272 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626568	2.7	discard	gpu3 run7 DEPTH=8 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=1 L_CYCLES=1 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.22994567607363237 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.1243392359021272 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626341	1.5	discard	gpu1 run8 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=1 L_CYCLES=1 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=32768 EMBEDDING_LR=0.22994567607363237 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.1243392359021272 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626185	1.5	discard	gpu0 run8 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=2 L_CYCLES=1 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.22994567607363237 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.1243392359021272 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626199	1.5	discard	gpu2 run8 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=63 H_CYCLES=1 L_CYCLES=1 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.22994567607363237 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.1243392359021272 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
